Line 9: baseline='' | ED2='achieved' | correct='achieved'
Line 13: baseline='' | ED2='ambiguity' | correct='ambiguity'
Line 28: baseline='' | ED2='assignment' | correct='assignments'
Line 33: baseline='' | ED2='synchronously' | correct='asynchronously'
Line 48: baseline='' | ED2='bulletin' | correct='bulletins'
Line 52: baseline='' | ED2='capabilities' | correct='capabilities'
Line 56: baseline='' | ED2='catalogue' | correct='cataloguing'
Line 65: baseline='' | ED2='deficient' | correct='coefficient'
Line 66: baseline='' | ED2='sufficient' | correct='coefficient'
Line 78: baseline='complimentary' | ED2='complementary' | correct='complimentary'
Line 81: baseline='' | ED2='connective' | correct='connectives'
Line 87: baseline='' | ED2='convention' | correct='conventional'
Line 95: baseline='' | ED2='criticized' | correct='criticised'
Line 98: baseline='' | ED2='depressing' | correct='decreasing'
Line 137: baseline='' | ED2='oscillated' | correct='facilitated'
Line 158: baseline='' | ED2='neuritis' | correct='heuristics'
Line 163: baseline='' | ED2='however' | correct='however'
Line 170: baseline='' | ED2='impracticable' | correct='impracticable'
Line 171: baseline='' | ED2='inappropriate' | correct='inappropriate'
Line 178: baseline='' | ED2='individual' | correct='individual'
Line 180: baseline='' | ED2='insufficient' | correct='inefficient'
Line 186: baseline='' | ED2='international' | correct='internationally'
Line 187: baseline='' | ED2='intestine' | correct='internecine'
Line 205: baseline='' | ED2='listing' | correct='listings'
Line 207: baseline='' | ED2='looked' | correct='loaned'
Line 214: baseline='' | ED2='means' | correct='means'
Line 224: baseline='' | ED2='network' | correct='networks'
Line 241: baseline='' | ED2='overall' | correct='overfill'
Line 243: baseline='' | ED2='oxygen' | correct='oxygen'
Line 246: baseline='' | ED2='peripheral' | correct='peripheral'
Line 247: baseline='' | ED2='permanently' | correct='permanently'
Line 262: baseline='' | ED2='probably' | correct='probably'
Line 314: baseline='' | ED2='seashore' | correct='semaphore'
Line 323: baseline='' | ED2='liable' | correct='sizeable'
Line 331: baseline='' | ED2='states' | correct='starter'
Line 332: baseline='' | ED2='statements' | correct='statements'
Line 354: baseline='' | ED2='the' | correct='theses'
Line 370: baseline='' | ED2='unstable' | correct='unscramble'
Line 375: baseline='' | ED2='fertility' | correct='versatility'
